,model,prior,duplicates_level,distortion_level,num_iter,precision_mean,recall_mean,f1score_mean,precision_std,recall_std,f1score_std
0,Both,Bounded NBD,High,High,10000,0.9983706050000001,0.75147881,0.85719099,0.0014660810498435767,0.029411466650340723,0.019270808660056968
1,Both,Bounded NBD,High,High,50000,0.99955947,0.708233425,0.8287946999999999,0.0009048855676999034,0.025847650942129808,0.01725090722029303
2,Both,Bounded NBD,High,Low,10000,0.99987245,0.935862635,0.96680864,0.0005704209410602028,0.0012982955896806564,0.0006941587960295624
3,Both,Bounded NBD,High,Low,50000,1.0,0.9403354650000001,0.969249305,0.0,0.002042109065666912,0.001084599244191164
4,Both,Bounded NBD,Low,High,10000,1.0,0.750833325,0.8575995900000001,0.0,0.015741897108098944,0.010212923422641415
5,Both,Bounded NBD,Low,High,50000,1.0,0.74166665,0.8516483499999999,0.0,0.00854983670034883,0.005637289354449518
6,Both,Bounded NBD,Low,Low,10000,0.9844262699999999,0.9523810000000001,0.9681352950000001,0.0036656756782345087,0.0,0.001759315924017046
7,Both,Bounded NBD,Low,Low,50000,0.9804336599999999,0.9523810000000001,0.96619352,0.006510735504930115,0.0,0.0031772087216032506
8,Both,Bounded NBD,Medium,High,10000,0.9851991099999999,0.76098562,0.8583682149999999,0.0068586076724146735,0.026883743264943007,0.015021017683242694
9,Both,Bounded NBD,Medium,High,50000,0.9900926999999999,0.738501015,0.8459837450000001,0.0013597980298945954,0.0028479891848691378,0.0017903033713738954
10,Both,Bounded NBD,Medium,Low,10000,0.999564025,0.9234343199999999,0.959987745,0.0011401582742736956,0.0039271707860413846,0.0021699806400967553
11,Both,Bounded NBD,Medium,Low,50000,0.9998920099999999,0.9308080499999999,0.9641100399999999,0.0004829459617804179,0.0038148038834188323,0.0020237389985137003
12,Both,Bounded NBD,Very High,High,10000,0.997751045,0.83135479,0.906936355,0.002016018879525989,0.01228717907614962,0.007323971205028002
13,Both,Bounded NBD,Very High,High,50000,0.9984729050000001,0.7851442000000001,0.8789774400000001,0.0012799706742014755,0.014638036739370416,0.008891920903381893
14,Both,Bounded NBD,Very High,Low,10000,1.0,0.9218606149999999,0.95934168,0.0,0.0006837493163857012,0.000370315452439906
15,Both,Bounded NBD,Very High,Low,50000,1.0,0.9228796749999999,0.95989301,0.0,0.0010686673106823385,0.0005779453096507609
16,Both,Pitman,High,High,10000,0.9991529299999999,0.73645085,0.847581685,0.0015986744980237685,0.029997023342158466,0.01999837814853663
17,Both,Pitman,High,High,50000,0.999840255,0.69208633,0.81778515,0.0007144013581314061,0.021883082748747403,0.014775020070927698
18,Both,Pitman,High,Low,10000,1.0,0.93662142,0.96727279,0.0,0.0018005084315855199,0.0009596078749045801
19,Both,Pitman,High,Low,50000,1.0,0.940854625,0.969525455,0.0,0.0015863762395953221,0.0008416519742525217
20,Both,Pitman,Low,High,10000,1.0,0.73499999,0.847114915,0.0,0.0201601723630607,0.013348195364455024
21,Both,Pitman,Low,High,50000,1.0,0.7391666499999999,0.8499893249999999,0.0,0.009785723280236818,0.006478096842265
22,Both,Pitman,Low,Low,10000,0.97890006,0.9523810000000001,0.96543193,0.010533071727728513,0.0,0.0051123410935644265
23,Both,Pitman,Low,Low,50000,0.9828133649999999,0.9523810000000001,0.967354805,0.003547454764264099,0.0,0.00173114146750058
24,Both,Pitman,Medium,High,10000,0.98849705,0.753593415,0.8550373499999999,0.004929766012649466,0.020196078948133418,0.01227753461346117
25,Both,Pitman,Medium,High,50000,0.9907506250000001,0.73655029,0.844941275,0.001323208321059489,0.0029868055022575293,0.0018516391307149228
26,Both,Pitman,Medium,Low,10000,0.99989083,0.92313129,0.9599771300000001,0.0004882230822072901,0.0026603898103572375,0.0014534368543486626
27,Both,Pitman,Medium,Low,50000,0.99989083,0.9270706799999999,0.9621006599999999,0.0004882230822072901,0.004035080182024715,0.002232568708060414
