,model,prior,duplicates_level,distortion_level,num_iter,replicates,precision,recall,f1score
0,Both,Pitman,Low,Low,10000,0,0.9677419,0.952381,0.96
1,Both,Pitman,Medium,Low,10000,0,1.0,0.9191919,0.9578947
2,Both,Pitman,High,Low,10000,0,1.0,0.9408946,0.9695473
3,Both,Pitman,Very High,Low,10000,0,1.0,0.921762,0.9592884
4,Both,Pitman,High,Low,10000,2,1.0,0.9353035,0.9665704
5,Both,Pitman,Very High,Low,10000,2,1.0,0.921762,0.9592884
6,Both,Pitman,Medium,Low,10000,2,1.0,0.9232323,0.960084
7,Both,Pitman,Low,Low,10000,2,1.0,0.952381,0.9756098
8,Both,Pitman,High,Low,10000,3,1.0,0.9361022,0.9669967
9,Both,Pitman,Medium,Low,10000,3,1.0,0.9191919,0.9578947
10,Both,Pitman,Low,Low,10000,3,0.9836066,0.952381,0.9677419
11,Both,Pitman,Very High,Low,10000,3,1.0,0.921762,0.9592884
12,Both,Pitman,Low,Low,10000,5,0.9836066,0.952381,0.9677419
13,Both,Pitman,Very High,Low,10000,5,1.0,0.921762,0.9592884
14,Both,Pitman,Medium,Low,10000,5,1.0,0.9272727,0.9622642
15,Both,Pitman,High,Low,10000,5,1.0,0.936901,0.9674227
16,Both,Pitman,Low,Low,10000,7,0.9836066,0.952381,0.9677419
17,Both,Pitman,Medium,Low,10000,7,1.0,0.9232323,0.960084
18,Both,Pitman,High,Low,10000,7,1.0,0.9384984,0.9682736
19,Both,Pitman,Very High,Low,10000,7,1.0,0.9211045,0.9589322
20,Both,Pitman,High,Low,10000,9,1.0,0.9337061,0.9657166
21,Both,Pitman,Very High,Low,10000,9,1.0,0.921762,0.9592884
22,Both,Pitman,Medium,Low,10000,9,1.0,0.9191919,0.9578947
23,Both,Pitman,Low,Low,10000,9,0.9836066,0.952381,0.9677419
24,Both,Pitman,Very High,Low,10000,11,1.0,0.921762,0.9592884
25,Both,Pitman,Low,Low,10000,11,0.9836066,0.952381,0.9677419
26,Both,Pitman,Medium,Low,10000,11,1.0,0.9232323,0.960084
27,Both,Pitman,High,Low,10000,11,1.0,0.9353035,0.9665704
28,Both,Pitman,Very High,Low,10000,13,1.0,0.9230769,0.96
29,Both,Pitman,Low,Low,10000,13,1.0,0.952381,0.9756098
30,Both,Pitman,High,Low,10000,13,1.0,0.9337061,0.9657166
31,Both,Pitman,Medium,Low,10000,13,1.0,0.9232323,0.960084
32,Both,Pitman,Very High,Low,10000,15,1.0,0.921762,0.9592884
33,Both,Pitman,High,Low,10000,15,1.0,0.936901,0.9674227
34,Both,Pitman,Low,Low,10000,15,0.9836066,0.952381,0.9677419
35,Both,Pitman,Medium,Low,10000,15,1.0,0.9232323,0.960084
36,Both,Pitman,Low,Low,10000,17,0.9677419,0.952381,0.96
37,Both,Pitman,High,Low,10000,17,1.0,0.9353035,0.9665704
38,Both,Pitman,Medium,Low,10000,17,1.0,0.9232323,0.960084
39,Both,Pitman,Very High,Low,10000,17,1.0,0.921762,0.9592884
40,Both,Pitman,Very High,Low,10000,19,1.0,0.9230769,0.96
41,Both,Pitman,High,Low,10000,19,1.0,0.936901,0.9674227
42,Both,Pitman,Low,Low,10000,19,0.9836066,0.952381,0.9677419
43,Both,Pitman,Medium,Low,10000,19,1.0,0.9232323,0.960084
44,Both,Pitman,Low,Low,10000,4,0.9677419,0.952381,0.96
45,Both,Pitman,Medium,Low,10000,4,1.0,0.9272727,0.9622642
46,Both,Pitman,Very High,Low,10000,4,1.0,0.921762,0.9592884
47,Both,Pitman,High,Low,10000,4,1.0,0.936901,0.9674227
48,Both,Pitman,Medium,Low,10000,6,1.0,0.9232323,0.960084
49,Both,Pitman,Low,Low,10000,6,0.9677419,0.952381,0.96
50,Both,Pitman,Very High,Low,10000,6,1.0,0.921762,0.9592884
51,Both,Pitman,High,Low,10000,6,1.0,0.9400958,0.9691231
52,Both,Pitman,Low,Low,10000,8,0.9677419,0.952381,0.96
53,Both,Pitman,High,Low,10000,8,1.0,0.936901,0.9674227
54,Both,Pitman,Medium,Low,10000,8,1.0,0.9232323,0.960084
55,Both,Pitman,Very High,Low,10000,8,1.0,0.921762,0.9592884
56,Both,Pitman,High,Low,10000,10,1.0,0.9376997,0.9678483
57,Both,Pitman,Very High,Low,10000,10,1.0,0.9230769,0.96
58,Both,Pitman,Medium,Low,10000,10,1.0,0.9292929,0.9633508
59,Both,Pitman,Low,Low,10000,10,0.9836066,0.952381,0.9677419
60,Both,Pitman,Medium,Low,10000,12,1.0,0.9232323,0.960084
61,Both,Pitman,Very High,Low,10000,12,1.0,0.921762,0.9592884
62,Both,Pitman,Low,Low,10000,12,0.9677419,0.952381,0.96
63,Both,Pitman,High,Low,10000,12,1.0,0.936901,0.9674227
64,Both,Pitman,Very High,Low,10000,14,1.0,0.9230769,0.96
65,Both,Pitman,Low,Low,10000,14,0.9677419,0.952381,0.96
66,Both,Pitman,Medium,Low,10000,14,0.9978166,0.9232323,0.9590766
67,Both,Pitman,High,Low,10000,14,1.0,0.936901,0.9674227
68,Both,Pitman,Very High,Low,10000,16,1.0,0.921762,0.9592884
69,Both,Pitman,Low,Low,10000,16,0.9677419,0.952381,0.96
70,Both,Pitman,High,Low,10000,16,1.0,0.9353035,0.9665704
71,Both,Pitman,Medium,Low,10000,16,1.0,0.9191919,0.9578947
72,Both,Pitman,Low,Low,10000,18,0.9836066,0.952381,0.9677419
73,Both,Pitman,High,Low,10000,18,1.0,0.9353035,0.9665704
74,Both,Pitman,Medium,Low,10000,18,1.0,0.9232323,0.960084
75,Both,Pitman,Very High,Low,10000,18,1.0,0.921762,0.9592884
76,Both,Pitman,Low,Low,10000,20,0.9836066,0.952381,0.9677419
77,Both,Pitman,Medium,Low,10000,20,1.0,0.9232323,0.960084
78,Both,Pitman,Very High,Low,10000,20,1.0,0.921762,0.9592884
79,Both,Pitman,High,Low,10000,20,1.0,0.936901,0.9674227
80,Both,uniform,High,Low,10000,0,1.0,0.936901,0.9674227
81,Both,uniform,Low,Low,10000,0,0.4225352,0.952381,0.5853659
82,Both,uniform,Very High,Low,10000,0,1.0,0.921762,0.9592884
83,Both,uniform,Medium,Low,10000,0,1.0,0.9272727,0.9622642
84,Both,uniform,Very High,Low,10000,2,1.0,0.9197896,0.9582192
85,Both,uniform,Medium,Low,10000,2,1.0,0.9232323,0.960084
86,Both,uniform,Low,Low,10000,2,0.4081633,0.952381,0.5714286
87,Both,uniform,High,Low,10000,2,1.0,0.9353035,0.9665704
88,Both,uniform,Low,Low,10000,3,0.3896104,0.952381,0.5529954
89,Both,uniform,Very High,Low,10000,3,1.0,0.9197896,0.9582192
90,Both,uniform,High,Low,10000,3,1.0,0.9384984,0.9682736
91,Both,uniform,Medium,Low,10000,3,1.0,0.9272727,0.9622642
92,Both,uniform,Low,Low,10000,5,0.4225352,0.952381,0.5853659
93,Both,uniform,Very High,Low,10000,5,1.0,0.9197896,0.9582192
94,Both,uniform,Medium,Low,10000,5,1.0,0.9191919,0.9578947
95,Both,uniform,High,Low,10000,5,1.0,0.936901,0.9674227
96,Both,uniform,High,Low,10000,7,1.0,0.936901,0.9674227
97,Both,uniform,Very High,Low,10000,7,1.0,0.921762,0.9592884
98,Both,uniform,Medium,Low,10000,7,1.0,0.9232323,0.960084
99,Both,uniform,Low,Low,10000,7,0.4761905,0.952381,0.6349206
100,Both,uniform,Medium,Low,10000,9,1.0,0.9191919,0.9578947
101,Both,uniform,Very High,Low,10000,9,1.0,0.921762,0.9592884
102,Both,uniform,Low,Low,10000,9,0.3703704,0.952381,0.5333333
103,Both,uniform,High,Low,10000,9,1.0,0.9384984,0.9682736
104,Both,uniform,Very High,Low,10000,11,1.0,0.921762,0.9592884
105,Both,uniform,Medium,Low,10000,11,0.9978166,0.9232323,0.9590766
106,Both,uniform,High,Low,10000,11,1.0,0.9392971,0.9686985
107,Both,uniform,Low,Low,10000,11,0.3870968,0.952381,0.5504587
108,Both,uniform,Medium,Low,10000,13,1.0,0.9232323,0.960084
109,Both,uniform,Low,Low,10000,13,0.4316547,0.952381,0.5940594
110,Both,uniform,Very High,Low,10000,13,1.0,0.9197896,0.9582192
111,Both,uniform,High,Low,10000,13,1.0,0.9376997,0.9678483
112,Both,uniform,High,Low,10000,15,1.0,0.9353035,0.9665704
113,Both,uniform,Very High,Low,10000,15,1.0,0.921762,0.9592884
114,Both,uniform,Low,Low,10000,15,0.4137931,0.952381,0.5769231
115,Both,uniform,Medium,Low,10000,15,1.0,0.9232323,0.960084
116,Both,uniform,High,Low,10000,17,1.0,0.936901,0.9674227
117,Both,uniform,Low,Low,10000,17,0.4316547,0.952381,0.5940594
118,Both,uniform,Medium,Low,10000,17,1.0,0.9232323,0.960084
119,Both,uniform,Very High,Low,10000,17,1.0,0.921762,0.9592884
120,Both,uniform,High,Low,10000,19,1.0,0.936901,0.9674227
121,Both,uniform,Very High,Low,10000,19,1.0,0.9197896,0.9582192
122,Both,uniform,Low,Low,10000,19,0.4225352,0.952381,0.5853659
123,Both,uniform,Medium,Low,10000,19,1.0,0.9232323,0.960084
124,Both,uniform,High,Low,10000,4,1.0,0.9353035,0.9665704
125,Both,uniform,Very High,Low,10000,4,1.0,0.921762,0.9592884
126,Both,uniform,Low,Low,10000,4,0.4,0.952381,0.5633803
127,Both,uniform,Medium,Low,10000,4,1.0,0.9232323,0.960084
128,Both,uniform,Medium,Low,10000,6,1.0,0.9272727,0.9622642
129,Both,uniform,Low,Low,10000,6,0.4477612,0.952381,0.6091371
130,Both,uniform,High,Low,10000,6,1.0,0.936901,0.9674227
131,Both,uniform,Very High,Low,10000,6,1.0,0.921762,0.9592884
132,Both,uniform,Medium,Low,10000,8,1.0,0.9232323,0.960084
133,Both,uniform,High,Low,10000,8,1.0,0.936901,0.9674227
134,Both,uniform,Low,Low,10000,8,0.4109589,0.952381,0.5741627
135,Both,uniform,Very High,Low,10000,8,1.0,0.921762,0.9592884
136,Both,uniform,Medium,Low,10000,10,1.0,0.9292929,0.9633508
137,Both,uniform,Very High,Low,10000,10,1.0,0.921762,0.9592884
138,Both,uniform,Low,Low,10000,10,0.4347826,0.952381,0.5970149
139,Both,uniform,High,Low,10000,10,1.0,0.9353035,0.9665704
140,Both,uniform,Very High,Low,10000,12,1.0,0.921762,0.9592884
141,Both,uniform,Medium,Low,10000,12,1.0,0.9232323,0.960084
142,Both,uniform,High,Low,10000,12,1.0,0.9337061,0.9657166
143,Both,uniform,Low,Low,10000,12,0.4054054,0.952381,0.5687204
144,Both,uniform,Very High,Low,10000,14,1.0,0.921762,0.9592884
145,Both,uniform,Low,Low,10000,14,0.4,0.952381,0.5633803
146,Both,uniform,High,Low,10000,14,1.0,0.936901,0.9674227
147,Both,uniform,Medium,Low,10000,14,1.0,0.9292929,0.9633508
148,Both,uniform,Medium,Low,10000,16,0.997807,0.9191919,0.9568875
149,Both,uniform,Very High,Low,10000,16,1.0,0.921762,0.9592884
150,Both,uniform,High,Low,10000,16,1.0,0.9353035,0.9665704
151,Both,uniform,Low,Low,10000,16,0.4285714,0.952381,0.591133
152,Both,uniform,Medium,Low,10000,18,1.0,0.9191919,0.9578947
153,Both,uniform,Very High,Low,10000,18,1.0,0.921762,0.9592884
154,Both,uniform,Low,Low,10000,18,0.4166667,0.952381,0.5797101
155,Both,uniform,High,Low,10000,18,1.0,0.9384984,0.9682736
156,Both,uniform,Low,Low,10000,20,0.4316547,0.952381,0.5940594
157,Both,uniform,Medium,Low,10000,20,1.0,0.9232323,0.960084
