,model,prior,duplicates_level,distortion_level,replicates,precision,recall,f1score,date,num_iter
0,Both,Pitman,Very High,High,21,1.0,0.7947686,0.8856502,Fri_Feb__9_08_51_26_2024,
1,Both,Pitman,High,High,21,1.0,0.6882494,0.8153409,Fri_Feb__9_08_51_30_2024,
2,Both,Pitman,Medium,Low,21,0.997807,0.9191919,0.9568875,Tue_Feb__6_20_11_45_2024,
3,Both,Pitman,Low,Low,21,0.9677419,0.952381,0.96,Tue_Feb__6_20_11_41_2024,
4,Both,Pitman,Very High,Low,21,1.0,0.921762,0.9592884,Tue_Feb__6_20_11_52_2024,
5,Both,Pitman,High,Low,21,1.0,0.936901,0.9674227,Tue_Feb__6_20_11_47_2024,
6,Both,Pitman,Medium,High,21,0.9889503,0.7351129,0.8433451,Fri_Feb__9_08_51_26_2024,
7,Both,Pitman,Low,High,21,1.0,0.75,0.8571429,Fri_Feb__9_08_51_16_2024,
8,Both,Pitman,High,High,22,1.0,0.685052,0.813093,Wed_Feb_28_21_32_54_2024,
9,Both,Pitman,Very High,High,22,0.9972041,0.7176392,0.8346334,Wed_Feb_28_21_32_56_2024,
10,Both,Pitman,High,Low,22,1.0,0.936901,0.9674227,Tue_Feb__6_20_24_38_2024,
11,Both,Pitman,Medium,High,22,0.9944444,0.7351129,0.8453365,Wed_Feb_28_21_32_53_2024,
12,Both,Pitman,Medium,Low,22,1.0,0.9212121,0.9589905,Tue_Feb__6_20_24_35_2024,
13,Both,Pitman,Low,Low,22,0.9836066,0.952381,0.9677419,Tue_Feb__6_20_24_32_2024,
14,Both,Pitman,Very High,Low,22,1.0,0.9230769,0.96,Tue_Feb__6_20_24_40_2024,
15,Both,Pitman,Low,High,22,1.0,0.7333333,0.8461538,Wed_Feb_28_21_32_50_2024,
16,Both,Pitman,Low,High,23,1.0,0.7333333,0.8461538,Tue_Feb__6_21_30_22_2024,
17,Both,Pitman,High,Low,23,1.0,0.936901,0.9674227,Tue_Feb__6_21_30_11_2024,
18,Both,Pitman,Very High,High,23,0.9944045,0.8343394,0.9073669,Tue_Feb__6_21_30_35_2024,
19,Both,Pitman,High,High,23,1.0,0.7474021,0.8554437,Tue_Feb__6_21_30_30_2024,
20,Both,Pitman,Low,Low,23,0.9836066,0.952381,0.9677419,Tue_Feb__6_21_30_03_2024,
21,Both,Pitman,Medium,Low,23,1.0,0.9232323,0.960084,Tue_Feb__6_21_30_07_2024,
22,Both,Pitman,Very High,Low,23,1.0,0.9197896,0.9582192,Tue_Feb__6_21_30_16_2024,
23,Both,Pitman,Medium,High,23,0.9949749,0.8131417,0.8949153,Tue_Feb__6_21_30_26_2024,
24,Both,Pitman,Low,Low,24,0.9677419,0.952381,0.96,Tue_Feb__6_21_47_44_2024,
25,Both,Pitman,Medium,High,24,0.9891304,0.7474333,0.851462,Tue_Feb__6_21_48_02_2024,
26,Both,Pitman,Low,High,24,1.0,0.75,0.8571429,Thu_Feb_29_12_46_31_2024,
27,Both,Pitman,High,High,24,1.0,0.685052,0.813093,Thu_Feb_29_12_46_35_2024,
28,Both,Pitman,Very High,Low,24,1.0,0.921762,0.9592884,Tue_Feb__6_21_47_54_2024,
29,Both,Pitman,Very High,High,24,1.0,0.7183099,0.8360656,Thu_Feb_29_12_46_36_2024,
30,Both,Pitman,High,Low,24,1.0,0.9353035,0.9665704,Tue_Feb__6_21_47_51_2024,
31,Both,Pitman,Medium,Low,24,1.0,0.9232323,0.960084,Tue_Feb__6_21_47_47_2024,
32,Both,Pitman,Very High,Low,25,1.0,0.921762,0.9592884,Wed_Feb_28_10_25_07_2024,
33,Both,Pitman,Low,High,25,1.0,0.75,0.8571429,Wed_Feb_28_11_16_56_2024,
34,Both,Pitman,Low,Low,25,0.9836066,0.952381,0.9677419,Wed_Feb_28_10_24_59_2024,
35,Both,Pitman,High,High,25,1.0,0.6802558,0.809705,Wed_Feb_28_11_17_02_2024,
36,Both,Pitman,Medium,Low,25,1.0,0.9191919,0.9578947,Wed_Feb_28_10_25_03_2024,
37,Both,Pitman,Very High,High,25,1.0,0.7156271,0.8342455,Wed_Feb_28_11_17_05_2024,
38,Both,Pitman,High,Low,25,1.0,0.9384984,0.9682736,Wed_Feb_28_10_25_06_2024,
39,Both,Pitman,Medium,High,25,0.9916667,0.7330595,0.8429752,Wed_Feb_28_11_17_01_2024,
40,Both,Pitman,Low,High,26,1.0,0.75,0.8571429,Wed_Feb_28_11_17_18_2024,
41,Both,Pitman,Very High,High,26,1.0,0.7142857,0.8333333,Wed_Feb_28_11_17_28_2024,
42,Both,Pitman,Very High,Low,26,1.0,0.9197896,0.9582192,Wed_Feb_28_10_25_19_2024,
43,Both,Pitman,Medium,High,26,0.9917582,0.7412731,0.8484136,Wed_Feb_28_11_17_22_2024,
44,Both,Pitman,Medium,Low,26,1.0,0.9232323,0.960084,Wed_Feb_28_10_25_15_2024,
45,Both,Pitman,Low,Low,26,0.9836066,0.952381,0.9677419,Wed_Feb_28_10_25_12_2024,
46,Both,Pitman,High,High,26,1.0,0.6842526,0.8125297,Wed_Feb_28_11_17_25_2024,
47,Both,Pitman,High,Low,26,1.0,0.936901,0.9674227,Wed_Feb_28_10_25_18_2024,
48,Both,Pitman,High,High,27,1.0,0.6922462,0.8181389,Wed_Feb_28_11_17_35_2024,
