,model,prior,duplicates_level,distortion_level,precision,recall,f1score,date
0,Both,BNBD4,High,High,0.9950284,0.8465257,0.9147894,Wed_Mar__6_22_03_27_2024
1,Both,BNBD4,High,High,0.9925453,0.844713,0.9126816,Thu_Mar__7_08_20_15_2024
2,Both,BNBD4,High,High,0.9942969,0.8427492,0.9122721,Mon_Feb_12_10_11_16_2024
3,Both,BNBD4,High,High,0.9925453,0.844713,0.9126816,Wed_Mar__6_22_03_43_2024
4,Both,BNBD4,High,High,0.9937722,0.8436556,0.9125817,Thu_Mar__7_14_27_15_2024
5,Both,BNBD4,High,High,0.994485,0.8444109,0.9133241,Thu_Mar__7_15_13_49_2024
6,Both,BNBD4,High,High,0.9937844,0.8453172,0.9135581,Wed_Mar__6_22_28_52_2024
7,Both,BNBD4,High,High,0.9928826,0.8429003,0.9117647,Wed_Mar_13_00_48_39_2024
8,Both,BNBD4,High,High,0.9921778,0.8430514,0.9115557,Thu_Mar_14_08_13_25_2024
9,Both,BNBD4,High,High,0.9923772,0.8456193,0.9131392,Wed_Mar__6_22_29_18_2024
10,Both,BNBD4,High,Low,1.0,0.9509463,0.9748564,Wed_Mar__6_22_03_15_2024
11,Both,BNBD4,High,Low,1.0,0.9512491,0.9750155,Thu_Mar__7_08_20_01_2024
12,Both,BNBD4,High,Low,1.0,0.9504921,0.9746177,Thu_Mar__7_14_27_04_2024
13,Both,BNBD4,High,Low,0.9998409,0.9515519,0.9750989,Mon_Feb_12_10_11_08_2024
14,Both,BNBD4,High,Low,1.0,0.9509463,0.9748564,Wed_Mar__6_22_03_28_2024
15,Both,BNBD4,High,Low,0.9998409,0.9515519,0.9750989,Wed_Mar__6_22_28_33_2024
16,Both,BNBD4,High,Low,1.0,0.9509463,0.9748564,Thu_Mar__7_15_13_41_2024
17,Both,BNBD4,High,Low,1.0,0.9498864,0.9742992,Fri_Mar__8_00_49_50_2024
18,Both,BNBD4,High,Low,1.0,0.9512491,0.9750155,Thu_Mar_14_08_13_02_2024
19,Both,BNBD4,High,Low,1.0,0.9510977,0.974936,Wed_Mar__6_22_28_54_2024
20,Both,BNBD4,Low,High,0.9204545,0.7751196,0.8415584,Thu_Mar__7_08_20_07_2024
21,Both,BNBD4,Low,High,0.9217877,0.7894737,0.8505155,Wed_Mar__6_22_03_20_2024
22,Both,BNBD4,Low,High,0.9213483,0.784689,0.8475452,Thu_Mar__7_14_27_06_2024
23,Both,BNBD4,Low,High,0.9213483,0.784689,0.8475452,Wed_Mar__6_22_03_32_2024
24,Both,BNBD4,Low,High,0.9213483,0.784689,0.8475452,Mon_Feb_12_10_11_12_2024
25,Both,BNBD4,Low,High,0.9213483,0.784689,0.8475452,Wed_Mar__6_22_28_45_2024
