,model,cluster_size,num_iter,duplicates_level,distortion_level,precision,recall,f1score,date
0,Both,2,10000,High,Low,1.0,0.336262,0.5032875,Wed_Mar__6_12_25_12_2024
3,Both,2,10000,High,Low,1.0,0.3386581,0.5059666,Wed_Mar__6_11_22_00_2024
5,Both,2,10000,High,Low,1.0,0.3378594,0.5050746,Wed_Mar__6_12_56_55_2024
7,Both,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_14_05_23_2024
20,Both,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_13_31_31_2024
22,Both,2,10000,High,Low,1.0,0.336262,0.5032875,Wed_Mar__6_11_53_32_2024
50,Both,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_13_13_01_2024
55,Both,2,10000,High,Low,1.0,0.336262,0.5032875,Wed_Mar__6_11_56_57_2024
59,Both,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_12_25_16_2024
61,Both,2,10000,High,Low,1.0,0.3386581,0.5059666,Wed_Mar__6_12_50_30_2024
68,Both,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_11_22_48_2024
74,Both,2,10000,High,Low,1.0,0.3378594,0.5050746,Wed_Mar__6_13_35_32_2024
79,Both,2,10000,High,Low,1.0,0.3378594,0.5050746,Wed_Mar__6_13_57_59_2024
111,Both,2,10000,High,Low,1.0,0.3354633,0.5023923,Wed_Mar__6_12_05_51_2024
115,Both,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_12_55_26_2024
116,Both,2,10000,High,Low,1.0,0.3354633,0.5023923,Wed_Mar__6_11_22_07_2024
120,Both,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_12_30_05_2024
129,Both,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_13_21_25_2024
130,Both,2,10000,High,Low,1.0,0.3378594,0.5050746,Wed_Mar__6_11_44_12_2024
169,Both,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_12_07_55_2024
172,Both,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_12_33_44_2024
173,Both,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_11_44_21_2024
175,Both,2,10000,High,Low,1.0,0.336262,0.5032875,Wed_Mar__6_11_22_26_2024
180,Both,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_12_58_35_2024
183,Both,2,10000,High,Low,1.0,0.3378594,0.5050746,Wed_Mar__6_13_24_02_2024
215,Both,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_12_56_19_2024
228,Both,2,10000,High,Low,1.0,0.336262,0.5032875,Wed_Mar__6_11_45_10_2024
229,Both,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_12_07_00_2024
231,Both,2,10000,High,Low,1.0,0.336262,0.5032875,Wed_Mar__6_12_31_46_2024
233,Both,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_11_22_55_2024
234,Both,2,10000,High,Low,1.0,0.336262,0.5032875,Wed_Mar__6_13_22_27_2024
266,Both,2,10000,High,Low,1.0,0.3378594,0.5050746,Wed_Mar__6_13_23_07_2024
267,Both,2,10000,High,Low,1.0,0.336262,0.5032875,Wed_Mar__6_12_33_55_2024
275,Both,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_11_23_05_2024
281,Both,2,10000,High,Low,1.0,0.3386581,0.5059666,Wed_Mar__6_12_08_55_2024
285,Both,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_13_00_28_2024
289,Both,2,10000,High,Low,1.0,0.3378594,0.5050746,Wed_Mar__6_11_45_46_2024
290,Both,2,10000,High,Low,1.0,0.336262,0.5032875,Wed_Mar__6_13_45_23_2024
325,Both,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_11_46_34_2024
334,Both,2,10000,High,Low,1.0,0.3378594,0.5050746,Wed_Mar__6_11_23_10_2024
335,Both,2,10000,High,Low,1.0,0.3378594,0.5050746,Wed_Mar__6_11_34_30_2024
339,Both,2,10000,High,Low,1.0,0.336262,0.5032875,Wed_Mar__6_12_32_45_2024
340,Both,2,10000,High,Low,1.0,0.336262,0.5032875,Wed_Mar__6_12_21_11_2024
344,Both,2,10000,High,Low,1.0,0.336262,0.5032875,Wed_Mar__6_12_09_37_2024
346,Both,2,10000,High,Low,1.0,0.3386581,0.5059666,Wed_Mar__6_11_58_16_2024
377,Both,2,10000,High,Low,1.0,0.3354633,0.5023923,Wed_Mar__6_11_23_19_2024
379,Both,2,10000,High,Low,1.0,0.3378594,0.5050746,Wed_Mar__6_11_35_41_2024
382,Both,2,10000,High,Low,1.0,0.336262,0.5032875,Wed_Mar__6_12_11_30_2024
383,Both,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_12_35_39_2024
384,Both,2,10000,High,Low,1.0,0.3370607,0.5041816,Wed_Mar__6_11_59_50_2024
