,model,prior,duplicates_level,distortion_level,num_iter,precision_median,recall_median,f1score_median,precision_std,recall_std,f1score_std
0,Both,Bounded NBD,High,High,10000,0.9979284500000001,0.7569944,0.8607768499999999,0.0014660810498435767,0.029411466650340723,0.019270808660056968
1,Both,Bounded NBD,High,High,50000,1.0,0.6966427,0.8209237,0.0009048855676999034,0.025847650942129808,0.01725090722029303
2,Both,Bounded NBD,High,Low,10000,1.0,0.9353035,0.9665704,0.0005704209410602028,0.0012982955896806564,0.0006941587960295624
3,Both,Bounded NBD,High,Low,50000,1.0,0.9404952,0.9693352,0.0,0.002042109065666912,0.001084599244191164
4,Both,Bounded NBD,Low,High,10000,1.0,0.75,0.8571429,0.0,0.015741897108098944,0.010212923422641415
5,Both,Bounded NBD,Low,High,50000,1.0,0.74166665,0.85164835,0.0,0.00854983670034883,0.005637289354449518
6,Both,Bounded NBD,Low,Low,10000,0.9836066,0.952381,0.9677419,0.0036656756782345087,0.0,0.001759315924017046
7,Both,Bounded NBD,Low,Low,50000,0.9836066,0.952381,0.9677419,0.006510735504930115,0.0,0.0031772087216032506
8,Both,Bounded NBD,Medium,High,10000,0.9889804,0.7464066,0.8512878500000001,0.0068586076724146735,0.026883743264943007,0.015021017683242694
9,Both,Bounded NBD,Medium,High,50000,0.9890411,0.7392197,0.8460635,0.0013597980298945954,0.0028479891848691378,0.0017903033713738954
10,Both,Bounded NBD,Medium,Low,10000,1.0,0.9232323,0.960084,0.0011401582742736956,0.0039271707860413846,0.0021699806400967553
11,Both,Bounded NBD,Medium,Low,50000,1.0,0.9313131,0.9639301,0.0004829459617804179,0.0038148038834188323,0.0020237389985137003
12,Both,Bounded NBD,Very High,High,10000,0.9975777,0.8286385000000001,0.9055889500000001,0.002016018879525989,0.01228717907614962,0.007323971205028002
13,Both,Bounded NBD,Very High,High,50000,0.9975108,0.7813548,0.8768362,0.0012799706742014755,0.014638036739370416,0.008891920903381893
14,Both,Bounded NBD,Very High,Low,10000,1.0,0.921762,0.9592884,0.0,0.0006837493163857012,0.000370315452439906
15,Both,Bounded NBD,Very High,Low,50000,1.0,0.9230769,0.96,0.0,0.0010686673106823385,0.0005779453096507609
16,Both,Pitman,High,High,10000,1.0,0.74380495,0.8521065999999999,0.0015986744980237685,0.029997023342158466,0.01999837814853663
17,Both,Pitman,High,High,50000,1.0,0.6834532,0.8119658,0.0007144013581314061,0.021883082748747403,0.014775020070927698
18,Both,Pitman,High,Low,10000,1.0,0.936901,0.9674227,0.0,0.0018005084315855199,0.0009596078749045801
19,Both,Pitman,High,Low,50000,1.0,0.9408946,0.9695473,0.0,0.0015863762395953221,0.0008416519742525217
20,Both,Pitman,Low,High,10000,1.0,0.7333333,0.8461538,0.0,0.0201601723630607,0.013348195364455024
