,model,prior,duplicates_level,distortion_level,precision_median,recall_median,f1score_median,precision_lower_bound,precision_upper_bound,recall_lower_bound,recall_upper_bound,f1score_lower_bound,f1score_upper_bound
0,Both,Bounded NBD,High,High,1.0,0.6958432999999999,0.82025925,0.9957919525,1.0,0.6890488,0.761610735,0.81573761,0.8638355575000001
1,Both,Bounded NBD,High,Low,1.0,0.936901,0.9674227,1.0,1.0,0.9337061,0.9384984,0.9657166,0.9682736
2,Both,Bounded NBD,Low,High,1.0,0.75,0.8571429,1.0,1.0,0.7333333,0.75,0.8461538,0.8571429
3,Both,Bounded NBD,Low,Low,0.9836066,0.952381,0.9677419,0.9677419,0.996311485,0.952381,0.952381,0.96,0.9738395224999999
4,Both,Bounded NBD,Medium,High,0.9890411,0.7392197,0.8460635,0.9889503,0.9917530925,0.7351129,0.7412731,0.8433451,0.8484136
5,Both,Bounded NBD,Medium,Low,1.0,0.9232323,0.960084,0.99780916,1.0,0.9191919,0.9292929,0.9578947,0.9633508
6,Both,Bounded NBD,Very High,High,0.9975007,0.7806841,0.8762693,0.9974053174999999,1.0,0.7727867075,0.830684085,0.8712708175,0.907287975
7,Both,Bounded NBD,Very High,Low,1.0,0.921762,0.9592884,1.0,1.0,0.9197896,0.9235864625,0.9582192,0.960275435
8,Both,Pitman,High,High,1.0,0.6834532,0.8119658,1.0,1.0,0.6772382425,0.7466826624999999,0.8075635225,0.8544684975
9,Both,Pitman,High,Low,1.0,0.936901,0.9674227,1.0,1.0,0.934065515,0.9408946,0.965908705,0.9695473
10,Both,Pitman,Low,High,1.0,0.74166665,0.85164835,1.0,1.0,0.7166667,0.75,0.8349515,0.8571429
11,Both,Pitman,Low,Low,0.9836066,0.952381,0.9677419,0.9677419,1.0,0.952381,0.952381,0.96,0.9756098
12,Both,Pitman,Medium,High,0.9916667,0.7371663,0.8447059,0.988926585,0.99384509,0.7294148149999999,0.74650927,0.8405451525,0.8510802425
13,Both,Pitman,Medium,Low,1.0,0.9232323,0.960084,0.997807,1.0,0.9191919,0.9292929,0.9568875,0.9633508
14,Both,Pitman,Very High,High,1.0,0.71663315,0.8347011,0.99330245,1.0,0.70818243,0.8097417775,0.82916437,0.8948697625
15,Both,Pitman,Very High,Low,1.0,0.921762,0.9592884,1.0,1.0,0.9200854525,0.9237344,0.9583796250000001,0.9603554
16,Both,uniform,High,High,1.0,0.6482814,0.7866149,0.99903962,1.0,0.639668265,0.7045163824999999,0.7802410624999999,0.825692755
17,Both,uniform,High,Low,1.0,0.936901,0.9674227,1.0,1.0,0.934065515,0.9399160925000001,0.965908705,0.969027565
18,Both,uniform,Low,High,0.5132139,0.8166667,0.6282051,0.4862400875,0.5817891925,0.8,0.8166667,0.6095516675,0.6794995625
19,Both,uniform,Low,Low,0.4095611,0.952381,0.57279565,0.3797468,0.444841015,0.952381,0.952381,0.5429864,0.606409605
20,Both,uniform,Medium,High,0.9865591,0.7494867,0.8528037,0.986355495,0.9892117525,0.74219713,0.760420955,0.847801425,0.8588964849999999
21,Both,uniform,Medium,Low,1.0,0.9232323,0.960084,0.9961296675,1.0,0.9191919,0.9292929,0.9568875,0.9633508
22,Both,uniform,Very High,High,1.0,0.6676727,0.80072385,1.0,1.0,0.65788063,0.763967125,0.79363994,0.8661872125
23,Both,uniform,Very High,Low,1.0,0.921762,0.9592884,1.0,1.0,0.9197896,0.9237344,0.9582192,0.9603554
24,No Diri,Bounded NBD,High,High,1.0,0.8289369,0.9064685,0.99709832,1.0,0.8233413,0.833733,0.9021933175,0.9093287
25,No Diri,Bounded NBD,High,Low,1.0,0.936901,0.9674227,1.0,1.0,0.9337061,0.9392971,0.9657166,0.9686985
26,No Diri,Bounded NBD,Low,High,0.8360656,0.85,0.8429752,0.8095238,0.8644068,0.85,0.85,0.8292683,0.8571429
27,No Diri,Bounded NBD,Low,Low,0.8695652,0.952381,0.9090909,0.8333333,0.9060379875,0.952381,0.952381,0.8888889,0.9286225674999999
28,No Diri,Bounded NBD,Medium,High,0.9745664,0.8583162,0.9127589,0.96625619,0.9835294,0.850564715,0.868121185,0.9075082,0.91952578
29,No Diri,Bounded NBD,Medium,Low,1.0,0.9232323,0.960084,0.9978166,1.0,0.9191919,0.93242421,0.9578947,0.964248715
30,No Diri,Bounded NBD,Very High,High,0.9945525500000001,0.8537894,0.9187136,0.99139289,0.99843535,0.8472334075,0.860194485,0.91464308,0.9236613499999999
31,No Diri,Bounded NBD,Very High,Low,1.0,0.921762,0.9592884,1.0,1.0,0.9200854525,0.9230769,0.9583796250000001,0.96
32,No Diri,Pitman,High,High,0.9961427,0.8257394,0.902972,0.9938897,0.9961677675,0.8187250425,0.8311550575,0.898748475,0.90621082
33,No Diri,Pitman,High,Low,1.0,0.936901,0.9674227,1.0,1.0,0.934065515,0.9405351625,0.965908705,0.96935632
34,No Diri,Pitman,Low,High,0.8928571,0.8333333,0.8632379,0.877193,0.9259259,0.8333333,0.85,0.8547009,0.8793103
35,No Diri,Pitman,Low,Low,0.8823529,0.952381,0.9160305,0.8571429,0.9457875775,0.952381,0.952381,0.9022556,0.949032775
36,No Diri,Pitman,Medium,High,0.9858156,0.8562628,0.9168486499999999,0.9747752,0.992364745,0.8501027,0.866067785,0.9094691725,0.9231098725
37,No Diri,Pitman,Medium,Low,1.0,0.9232323,0.960084,0.9956278975,1.0,0.9191919,0.93242421,0.9561085475000001,0.964248715
38,No Diri,Pitman,Very High,High,0.996115,0.85546615,0.9203827,0.9909823649999999,1.0,0.8485748075,0.8604963,0.915274125,0.9239862575000001
39,No Diri,Pitman,Very High,Low,1.0,0.921762,0.9592884,1.0,1.0,0.9197896,0.924243885,0.9582192,0.96063068
40,No Diri,uniform,High,High,1.0,0.8153477,0.8982827,0.997725065,1.0,0.809132665,0.8213828925,0.8944978674999999,0.9019331325
41,No Diri,uniform,High,Low,1.0,0.936901,0.9674227,1.0,1.0,0.9337061,0.9408946,0.9657166,0.9695473
42,No Diri,uniform,Low,High,0.3035714,0.85,0.4473684,0.2756757,0.335032875,0.85,0.85,0.4163265,0.4806238475
43,No Diri,uniform,Low,Low,0.3278689,0.952381,0.4878049,0.3003391875,0.3488372,0.952381,0.952381,0.4566656375,0.5106383
44,No Diri,uniform,Medium,High,0.9720605,0.8593428999999999,0.9116685,0.9630485,0.98083734,0.8521561,0.86971257,0.906159535,0.919756035
45,No Diri,uniform,Medium,Low,1.0,0.9232323,0.960084,0.9961296675,1.0,0.9191919,0.9292929,0.9578947,0.9633508
46,No Diri,uniform,Very High,High,1.0,0.8497653,0.9187817,0.999209055,1.0,0.8443997,0.8563212925,0.9156364,0.922600285
47,No Diri,uniform,Very High,Low,1.0,0.921762,0.9592884,1.0,1.0,0.9197896,0.9235864625,0.9582192,0.960275435
48,No Empirical,Bounded NBD,High,High,0.99692465,0.7729816,0.8695064,0.9917222824999999,1.0,0.750779365,0.7852318275,0.8573318475,0.8783849875
49,No Empirical,Bounded NBD,High,Low,1.0,0.9353035,0.9665704,1.0,1.0,0.9337061,0.9399160925000001,0.9657166,0.969027565
50,No Empirical,Bounded NBD,Low,High,1.0,0.7833333,0.8785047,0.9791667,1.0,0.7666667,0.8,0.861638165,0.8888889
51,No Empirical,Bounded NBD,Low,Low,0.9677419,0.952381,0.96,0.952381,0.9836066,0.952381,0.952381,0.952381,0.9677419
52,No Empirical,Bounded NBD,Medium,High,0.9892761,0.7731006,0.8681638,0.9820307325000001,0.9973737475,0.739681715,0.81632447,0.84736363,0.8943757125
53,No Empirical,Bounded NBD,Medium,Low,1.0,0.9191919,0.9578947,0.99561616,1.0,0.9191919,0.9292929,0.95503145,0.9631240675
54,No Empirical,Bounded NBD,Very High,High,0.997546,0.8229376,0.9018743,0.9951535,1.0,0.8170523075,0.8315056925,0.8986530075,0.9065621825
55,No Empirical,Bounded NBD,Very High,Low,1.0,0.921762,0.9592884,1.0,1.0,0.921762,0.9237344,0.9592884,0.9603554
56,No Empirical,Pitman,High,High,1.0,0.7681855,0.8683074,0.9967777,1.0,0.7418066,0.7767985574999999,0.8506835500000001,0.8743799375
57,No Empirical,Pitman,High,Low,1.0,0.936901,0.9674227,1.0,1.0,0.9337061,0.9400958,0.9657166,0.9691231
58,No Empirical,Pitman,Low,High,1.0,0.7833333,0.8785047,0.9845,1.0,0.7370833075,0.8166667,0.8486263475,0.8990826
59,No Empirical,Pitman,Low,Low,0.9836066,0.952381,0.9677419,0.9677419,1.0,0.952381,0.952381,0.96,0.9756098
60,No Empirical,Pitman,Medium,High,0.9919028000000001,0.7761807,0.87106045,0.9845007075,0.99739427,0.75154,0.81632447,0.8551402,0.89578188
