,model,cluster_size,num_iter,duplicates,distortion,m1,m2,m3,date
0,Both,2,10000,8,0,1.0,0.336262,0.5032875,Wed_Mar__6_12_25_12_2024
1,Both,2,10000,1,0,1.0,0.5353535,0.6973684,Wed_Mar__6_11_53_29_2024
2,Both,2,10000,0.1,0,0.9824561,0.8888889,0.9333333,Wed_Mar__6_11_21_54_2024
3,Both,2,10000,8,0,1.0,0.3386581,0.5059666,Wed_Mar__6_11_22_00_2024
4,Both,2,10000,1,0,1.0,0.5353535,0.6973684,Wed_Mar__6_12_56_53_2024
5,Both,2,10000,8,0,1.0,0.3378594,0.5050746,Wed_Mar__6_12_56_55_2024
6,Both,2,10000,0.1,0,0.9655172,0.8888889,0.9256198,Wed_Mar__6_13_31_22_2024
7,Both,2,10000,8,0,1.0,0.3370607,0.5041816,Wed_Mar__6_14_05_23_2024
8,Both,2,10000,100,0,1.0,0.3142669,0.4782391,Wed_Mar__6_12_57_01_2024
9,Both,2,10000,100,0,1.0,0.3122945,0.4759519,Wed_Mar__6_12_25_15_2024
10,Both,2,10000,100,0,1.0,0.3142669,0.4782391,Wed_Mar__6_14_05_27_2024
11,Both,2,10000,100,0,1.0,0.3142669,0.4782391,Wed_Mar__6_11_22_02_2024
12,Both,2,10000,0.1,0,0.9824561,0.8888889,0.9333333,Wed_Mar__6_12_25_04_2024
13,Both,2,10000,1,0,1.0,0.5373737,0.6990802,Wed_Mar__6_14_05_20_2024
14,Both,2,10000,1,0,1.0,0.5333333,0.6956522,Wed_Mar__6_12_25_10_2024
15,Both,2,10000,1,0,1.0,0.5333333,0.6956522,Wed_Mar__6_13_31_25_2024
16,Both,2,10000,0.1,0,0.9655172,0.8888889,0.9256198,Wed_Mar__6_12_56_49_2024
17,Both,2,10000,0.1,0,0.9655172,0.8888889,0.9256198,Wed_Mar__6_14_05_14_2024
18,Both,2,10000,100,0,1.0,0.3142669,0.4782391,Wed_Mar__6_11_53_39_2024
19,Both,2,10000,100,0,1.0,0.312952,0.4767151,Wed_Mar__6_13_31_35_2024
20,Both,2,10000,8,0,1.0,0.3370607,0.5041816,Wed_Mar__6_13_31_31_2024
21,Both,2,10000,1,0,1.0,0.5333333,0.6956522,Wed_Mar__6_11_21_56_2024
22,Both,2,10000,8,0,1.0,0.336262,0.5032875,Wed_Mar__6_11_53_32_2024
23,Both,2,10000,0.1,0,0.9824561,0.8888889,0.9333333,Wed_Mar__6_11_53_24_2024
24,Both,2,50000,8,1,0.9918256,0.2909672,0.4499382,Tue_Mar__5_20_56_42_2024
25,Both,2,50000,8,1,0.9893899,0.2981615,0.458231,Wed_Mar__6_03_44_27_2024
26,Both,2,50000,100,1,0.9954233,0.2917505,0.4512448,Wed_Mar__6_03_44_31_2024
27,Both,2,50000,100,1,0.9954649,0.2944333,0.4544513,Wed_Mar__6_00_21_42_2024
28,Both,2,50000,100,1,0.9954233,0.2917505,0.4512448,Tue_Mar__5_17_28_06_2024
29,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Wed_Mar__6_07_09_00_2024
30,Both,2,50000,100,1,0.9954128,0.2910798,0.4504411,Tue_Mar__5_20_56_46_2024
31,Both,2,50000,8,1,0.9891599,0.2917666,0.4506173,Wed_Mar__6_00_21_40_2024
32,Both,2,50000,8,1,0.9918919,0.2933653,0.4528069,Tue_Mar__5_17_27_59_2024
33,Both,2,50000,1,1,0.9917695,0.4948665,0.660274,Wed_Mar__6_03_44_26_2024
34,Both,2,50000,1,1,0.9917355,0.4928131,0.6584362,Tue_Mar__5_13_55_15_2024
35,Both,2,50000,8,1,0.9945799,0.2933653,0.4530864,Tue_Mar__5_13_55_18_2024
36,Both,2,50000,100,1,0.9954233,0.2917505,0.4512448,Wed_Mar__6_07_09_13_2024
37,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Wed_Mar__6_03_44_22_2024
38,Both,2,50000,1,1,0.9958506,0.4928131,0.6593407,Wed_Mar__6_07_09_05_2024
39,Both,2,50000,100,1,0.9954545,0.2937626,0.453651,Tue_Mar__5_13_55_20_2024
40,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Tue_Mar__5_20_56_37_2024
41,Both,2,50000,1,1,0.9958678,0.4948665,0.6611797,Wed_Mar__6_00_21_34_2024
42,Both,2,50000,8,1,0.9945946,0.2941647,0.4540407,Wed_Mar__6_07_09_08_2024
43,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Tue_Mar__5_13_55_13_2024
44,Both,2,50000,1,1,0.9917695,0.4948665,0.660274,Tue_Mar__5_20_56_41_2024
45,Both,2,50000,0.1,1,1.0,0.7333333,0.8461538,Tue_Mar__5_17_27_50_2024
46,Both,2,50000,0.1,1,1.0,0.75,0.8571429,Wed_Mar__6_00_21_32_2024
47,Both,2,50000,1,1,0.9917355,0.4928131,0.6584362,Tue_Mar__5_17_27_54_2024
48,Both,2,10000,100,0,1.0,0.312952,0.4767151,Wed_Mar__6_11_22_52_2024
49,Both,2,10000,1,1,0.9917355,0.4928131,0.6584362,Wed_Mar__6_09_21_49_2024
50,Both,2,10000,8,0,1.0,0.3370607,0.5041816,Wed_Mar__6_13_13_01_2024
51,Both,2,10000,0.1,0,0.9824561,0.8888889,0.9333333,Wed_Mar__6_12_25_11_2024
52,Both,2,10000,0.1,0,0.9824561,0.8888889,0.9333333,Wed_Mar__6_12_50_24_2024
53,Both,2,10000,0.1,0,0.9824561,0.8888889,0.9333333,Wed_Mar__6_13_12_57_2024
54,Both,2,10000,1,0,1.0,0.5353535,0.6973684,Wed_Mar__6_12_50_26_2024
55,Both,2,10000,8,0,1.0,0.336262,0.5032875,Wed_Mar__6_11_56_57_2024
56,Both,2,10000,100,0,1.0,0.3142669,0.4782391,Wed_Mar__6_12_50_31_2024
57,Both,2,10000,0.1,0,0.9824561,0.8888889,0.9333333,Wed_Mar__6_11_22_40_2024
58,Both,2,10000,100,0,1.0,0.3149244,0.479,Wed_Mar__6_11_56_59_2024
59,Both,2,10000,8,0,1.0,0.3370607,0.5041816,Wed_Mar__6_12_25_16_2024
60,Both,2,10000,0.1,0,0.9824561,0.8888889,0.9333333,Wed_Mar__6_13_35_26_2024
61,Both,2,10000,8,0,1.0,0.3386581,0.5059666,Wed_Mar__6_12_50_30_2024
62,Both,2,10000,0.1,0,0.9655172,0.8888889,0.9256198,Wed_Mar__6_13_57_54_2024
63,Both,2,10000,100,1,1.0,0.2930919,0.4533195,Wed_Mar__6_09_21_53_2024
64,Both,2,10000,100,0,1.0,0.312952,0.4767151,Wed_Mar__6_13_58_00_2024
65,Both,2,10000,1,0,1.0,0.5333333,0.6956522,Wed_Mar__6_13_35_28_2024
66,Both,2,10000,8,1,0.9946237,0.2957634,0.4559458,Wed_Mar__6_09_21_51_2024
67,Both,2,10000,1,0,1.0,0.5373737,0.6990802,Wed_Mar__6_11_56_55_2024
68,Both,2,10000,8,0,1.0,0.3370607,0.5041816,Wed_Mar__6_11_22_48_2024
69,Both,2,10000,1,0,1.0,0.5353535,0.6973684,Wed_Mar__6_11_22_42_2024
70,Both,2,10000,100,0,1.0,0.3122945,0.4759519,Wed_Mar__6_13_13_04_2024
71,Both,2,10000,1,0,1.0,0.5353535,0.6973684,Wed_Mar__6_13_13_00_2024
72,Both,2,10000,100,0,1.0,0.3142669,0.4782391,Wed_Mar__6_12_25_16_2024
