,model,prior,duplicates,distortion,m1,m2,m3,date
0,Both,Pitman,8,0,1.0,0.9526117,0.9757308,Wed_Mar__6_21_53_11_2024
1,Both,Pitman,8,1,0.9986755,0.6833837,0.8114798,Sat_Mar__9_05_49_38_2024
2,Both,Pitman,100,0,1.0,0.9552976,0.9771378,Sat_Mar__9_05_49_23_2024
3,Both,Pitman,0.1,1,0.9733333,0.6985646,0.8133705,Wed_Mar__6_21_53_19_2024
4,Both,Pitman,0.1,0,0.9754902,0.9567308,0.9660194,Sat_Mar__9_05_49_09_2024
5,Both,Pitman,1,0,0.9956289,0.9530451,0.9738717,Fri_Mar_15_14_59_13_2024
6,Both,Pitman,100,1,0.9997999,0.6666667,0.799936,Wed_Mar_13_00_37_27_2024
7,Both,Pitman,100,1,0.9986017,0.667067,0.79984,Sat_Mar__9_05_49_43_2024
8,Both,Pitman,0.1,0,0.9754902,0.9567308,0.9660194,Wed_Mar_13_00_36_56_2024
9,Both,Pitman,100,0,1.0,0.9550307,0.9769982,Fri_Mar_15_14_59_25_2024
10,Both,Pitman,8,1,0.9991135,0.6809668,0.8099174,Wed_Mar_13_00_37_23_2024
11,Both,Pitman,0.1,0,0.9707317,0.9567308,0.9636804,Fri_Mar_15_14_59_12_2024
12,Both,Pitman,1,1,0.9853316,0.7146161,0.8284182,Wed_Mar_13_00_37_18_2024
13,Both,Pitman,100,0,1.0,0.9542301,0.976579,Wed_Mar__6_21_53_11_2024
14,Both,Pitman,1,0,0.9941776,0.9525802,0.9729345,Wed_Mar__6_21_53_07_2024
15,Both,Pitman,1,1,0.9847036,0.7146161,0.8281962,Wed_Mar__6_21_53_22_2024
16,Both,Pitman,8,0,1.0,0.9512491,0.9750155,Sat_Mar__9_05_49_17_2024
17,Both,Pitman,1,0,0.995614,0.9497908,0.9721627,Wed_Mar_13_00_37_02_2024
18,Both,Pitman,8,0,1.0,0.9495836,0.9741399,Fri_Mar_15_14_59_15_2024
19,Both,Pitman,100,1,0.9984038,0.6677342,0.8002559,Wed_Mar__6_21_53_30_2024
20,Both,Pitman,0.1,1,0.9863014,0.6889952,0.8112676,Wed_Mar_13_00_37_09_2024
21,Both,Pitman,1,0,0.9937016,0.95351,0.973191,Sat_Mar__9_05_49_12_2024
22,Both,Pitman,8,0,1.0,0.9523089,0.9755719,Wed_Mar_13_00_37_04_2024
23,Both,Pitman,0.1,1,0.9863946,0.6937799,0.8146067,Sat_Mar__9_05_49_28_2024
24,Both,Pitman,100,0,1.0,0.9536963,0.9762994,Wed_Mar_13_00_37_09_2024
