,model,prior,duplicates_level,distortion_level,num_iter,precision_median,recall_median,f1score_median,precision_std,recall_std,f1score_std,precision_lower_bound,precision_upper_bound,recall_lower_bound,recall_upper_bound,f1score_lower_bound,f1score_upper_bound
0,Both,Bounded NBD,High,High,10000,0.9979284500000001,0.7569944,0.8607768499999999,0.0014660810498435767,0.029411466650340723,0.019270808660056968,0.9952468400000001,1.0,0.6969624125,0.79556354,0.821318085,0.8857638425
1,Both,Bounded NBD,High,High,50000,1.0,0.6966427,0.8209237,0.0009048855676999034,0.025847650942129808,0.01725090722029303,0.9977075525,1.0,0.6898081825,0.7606515025,0.8164334575,0.8640563325
2,Both,Bounded NBD,High,Low,10000,1.0,0.9353035,0.9665704,0.0005704209410602028,0.0012982955896806564,0.0006941587960295624,0.998660725,1.0,0.9337061,0.937739635,0.9657166,0.9678694225
3,Both,Bounded NBD,High,Low,50000,1.0,0.9404952,0.9693352,0.0,0.002042109065666912,0.001084599244191164,1.0,1.0,0.936901,0.943750005,0.9674227,0.9710606625
4,Both,Bounded NBD,Low,High,10000,1.0,0.75,0.8571429,0.0,0.015741897108098944,0.010212923422641415,1.0,1.0,0.7333333,0.7833333,0.8461538,0.8785047
5,Both,Bounded NBD,Low,High,50000,1.0,0.74166665,0.85164835,0.0,0.00854983670034883,0.005637289354449518,1.0,1.0,0.7333333,0.75,0.8461538,0.8571429
6,Both,Bounded NBD,Low,Low,10000,0.9836066,0.952381,0.9677419,0.0036656756782345087,0.0,0.001759315924017046,0.9836066,0.992213135,0.952381,0.952381,0.9677419,0.9718725475
7,Both,Bounded NBD,Low,Low,50000,0.9836066,0.952381,0.9677419,0.006510735504930115,0.0,0.0031772087216032506,0.9677419,0.9836066,0.952381,0.952381,0.96,0.9677419
8,Both,Bounded NBD,Medium,High,10000,0.9889804,0.7464066,0.8512878500000001,0.0068586076724146735,0.026883743264943007,0.015021017683242694,0.9727892375,0.9917926125000001,0.7330595,0.820379835,0.8424532975000001,0.892793265
9,Both,Bounded NBD,Medium,High,50000,0.9890411,0.7392197,0.8460635,0.0013597980298945954,0.0028479891848691378,0.0017903033713738954,0.98896474,0.9917474175000001,0.7329568825,0.742351135,0.8424329125,0.8486002375
