,model,prior,duplicates_level,distortion_level,precision_median,recall_median,f1score_median,precision_lower_bound,precision_upper_bound,recall_lower_bound,recall_upper_bound,f1score_lower_bound,f1score_upper_bound
0,Both,BNBD4,High,High,0.9933274,0.84456195,0.9126816,0.992222665,0.994906135,0.8427831975,0.84632176,0.911602725,0.9145123575
1,Both,BNBD4,High,Low,1.0,0.951022,0.9748962,0.9998409,1.0,0.9500226825,0.9515519,0.9743708625,0.9750989
2,Both,BNBD4,Low,High,0.9213483,0.784689,0.8475452,0.9205556374999999,0.9222222,0.7761961575,0.7942584,0.84223367,0.8534704
3,Both,BNBD4,Low,Low,0.9753695,0.9519231,0.9635036,0.9716365425,0.985057815,0.9471154,0.9519231,0.9610182150000001,0.9676838625
4,Both,BNBD4,Medium,High,0.9646333,0.8207678,0.8870021,0.9605311049999999,0.9686420625,0.817044425,0.8240286525,0.8840734625,0.88901141
5,Both,BNBD4,Medium,Low,0.9968557,0.958159,0.9771136,0.99624538,0.998813245,0.9567643,0.9595537,0.9765149975,0.978631695
6,Both,BNBD4,Very High,High,0.9967861,0.82599415,0.9034117500000001,0.995505705,0.99824287,0.822811545,0.8295469400000001,0.9011362175,0.9054824325
7,Both,BNBD4,Very High,Low,1.0,0.95396315,0.97643925,1.0,1.0,0.953326015,0.9542301,0.97610535,0.976579
8,Both,Pitman,High,High,0.9988938,0.6809668,0.80984465,0.9986698700000001,0.99911381,0.6799094,0.6830778125,0.8091685,0.8112637775
9,Both,Pitman,High,Low,1.0,0.9515519,0.9751745,1.0,1.0,0.9497539475,0.9531983749999999,0.974229495,0.9760383975
10,Both,Pitman,Low,High,0.9863946,0.6985646,0.8146067,0.9731946524999999,1.0,0.6900717575,0.7462499925,0.8103285325,0.8546703525
11,Both,Pitman,Low,Low,0.9754902,0.9567308,0.9660194,0.968414605,0.9836066,0.952381,0.9604567675,0.96082809,0.96848853
12,Both,Pitman,Medium,High,0.98498475,0.71369105,0.8276323,0.98103237,0.98706918,0.711586525,0.7164084425,0.82534447,0.8299783525
13,Both,Pitman,Medium,Low,0.9948952499999999,0.9525802,0.9729345,0.9933285924999999,0.999514045,0.928636335,0.95351,0.96276937,0.9737648250000001
14,Both,Pitman,Very High,High,0.99859915,0.6665999499999999,0.7996799,0.9979983600000001,0.9995754175,0.6647851825,0.66825128,0.7981527700000001,0.8006843125
15,Both,Pitman,Very High,Low,1.0,0.9550307,0.9769982,1.0,1.0,0.953816405,0.9560081325,0.9763623100000001,0.97750933
16,Both,Uniform,High,High,0.9973191,0.86986405,0.929341,0.9972269149999999,0.9981504775,0.8687990725,0.8713292874999999,0.9287388,0.9301410325
17,Both,Uniform,High,Low,1.0,0.94996215,0.97433905,1.0,1.0,0.948777395,0.95102957,0.97371552,0.9749002025
18,Both,Uniform,Low,High,0.31669695,0.8373206,0.45921049999999997,0.308170585,0.3233111325,0.8325359,0.8410287424999999,0.4504709675,0.466663905
19,Both,Uniform,Low,Low,0.35099820000000004,0.9759615,0.51505465,0.347871485,0.3550985275,0.9663462,0.9759615,0.5126552799999999,0.520731135
20,Both,Uniform,Medium,High,0.9268950499999999,0.8781220999999999,0.9015888,0.9245690999999999,0.9288586675,0.8756822625,0.879741,0.89994439,0.9036327675
21,Both,Uniform,Medium,Low,0.9928178,0.96397025,0.9780714500000001,0.99068311,0.9945077925,0.9624477025,0.96657369,0.9771172,0.9789394525
22,Both,Uniform,Very High,High,0.99921775,0.8532158999999999,0.9203310499999999,0.9986287524999999,0.9993411475,0.8503435775,0.855764595,0.91863431,0.9219307325
23,Both,Uniform,Very High,Low,1.0,0.9535629,0.9762295,1.0,1.0,0.9522318025,0.954466885,0.9755314500000001,0.9767030725
24,Neither,BNBD4,High,High,0.9978646,0.7070997,0.82772645,0.997497335,0.998033845,0.70367824,0.7100151425,0.8252808924999999,0.8295730175
25,Neither,BNBD4,High,Low,1.0,0.9521575,0.9754925,0.9998408449999999,1.0,0.950980365,0.9529145,0.97481572,0.9758896
26,Neither,BNBD4,Low,High,0.9863946,0.6985646,0.8179272,0.9798658,0.9969594625,0.6948564575,0.7395035925,0.814839755,0.848547585
27,Neither,BNBD4,Low,Low,0.985,0.94951925,0.9656863,0.97643375,0.9850746,0.9471154,0.9519231,0.96336534,0.9682152
28,Neither,BNBD4,Medium,High,0.98362305,0.7083718999999999,0.8236083999999999,0.9805857725,0.98805416,0.7028098775,0.7347549175,0.81887457,0.8427391275
29,Neither,BNBD4,Medium,Low,0.996108,0.9516504,0.97348715,0.9947536124999999,0.9965933175,0.9497908,0.9603091625,0.9717523975,0.977895155
30,Neither,BNBD4,Very High,High,0.9988541,0.7000934,0.8231418,0.9981429175000001,0.9993860075,0.6956298275,0.7027054925,0.8201241275,0.8250040925
31,Neither,BNBD4,Very High,Low,1.0,0.9546304,0.9767886,0.9996754299999999,1.0,0.95357952,0.9558012850000001,0.97623826,0.9774012175
32,Neither,Pitman,High,High,0.9940354,0.8424471,0.9121386499999999,0.99273603,0.9948248399999999,0.8400151450000001,0.84486029,0.91044452,0.913207665
33,Neither,Pitman,High,Low,1.0,0.9507949,0.9747769,1.0,1.0,0.94926566,0.9512150349999999,0.9739726074999999,0.9749976125
34,Neither,Pitman,Low,High,0.93623135,0.7751196,0.8485629,0.9311231725,0.9418605,0.7666267575,0.7799043,0.84451107,0.8509991299999999
35,Neither,Pitman,Low,Low,0.9704433,0.9471154,0.9586375,0.966756625,0.9800995,0.9471154,0.9471154,0.95683423,0.9633252
36,Neither,Pitman,Medium,High,0.9651416,0.8186864,0.8859429999999999,0.9631811925,0.96780614,0.8151942475,0.820895015,0.883957385,0.8880133925
37,Neither,Pitman,Medium,Low,0.9956501,0.9572292,0.9761707,0.9940437775000001,0.9965045674999999,0.9559391025,0.958414695,0.974751895,0.9767833275000001
38,Neither,Pitman,Very High,High,0.99580105,0.8236589,0.90138385,0.9941505625,0.997468315,0.822037635,0.8253969449999999,0.9004700675,0.9033112325
39,Neither,Pitman,Very High,Low,1.0,0.9540299,0.9763408499999999,0.9994407449999999,1.0,0.953296,0.9542301,0.9760896,0.976579
40,Neither,Uniform,High,High,0.9982935,0.7923716000000001,0.8835172,0.99760739,0.9984827924999999,0.789916885,0.79642373,0.8817336875,0.88602316
41,Neither,Uniform,High,Low,1.0,0.9498107,0.9742594,1.0,1.0,0.94919753,0.9509955050000001,0.9739367649999999,0.9748822925
42,Neither,Uniform,Low,High,0.242921,0.7799043,0.3704545,0.23816046,0.245547295,0.7761961575,0.784689,0.3648918425,0.3740462725
43,Neither,Uniform,Low,Low,0.2820513,0.9519231,0.4351648,0.2775741725,0.2853026,0.9519231,0.9519231,0.4298165725,0.4390244
44,Neither,Uniform,Medium,High,0.9646283,0.746531,0.8408675,0.959084845,0.9662680975,0.7435013475,0.748172975,0.8393670825,0.8427021025
45,Neither,Uniform,Medium,Low,0.99565115,0.95792655,0.97642455,0.99431045,0.9960232075,0.9564040025,0.9605299900000001,0.975115255,0.9774223400000001
46,Neither,Uniform,Very High,High,0.9998271,0.7719509,0.8712349,0.99917486,1.0,0.769629075,0.77372563,0.8697138925,0.8724297375
47,Neither,Uniform,Very High,Low,1.0,0.9523619,0.9755998,1.0,1.0,0.9517547525,0.9530724325000001,0.9752811225000001,0.9759724725000001
48,No Diri,BNBD4,High,High,0.9897276500000001,0.8941088,0.93951425,0.9879310625,0.9920460725,0.89179377,0.8966578574999999,0.9380498,0.9412312975
49,No Diri,BNBD4,High,Low,1.0,0.9518547,0.9752957,0.9998767749999999,1.0,0.950291495,0.95301291,0.97451223,0.9759411875
50,No Diri,BNBD4,Low,High,0.3172499,0.8516746,0.4619395,0.266836545,0.3298988625,0.84689,0.8564593,0.40526455,0.4755774875
51,No Diri,BNBD4,Low,Low,0.9660194,0.9567308,0.9613527,0.957608675,0.9791872275000001,0.9519231,0.9604567675,0.9553012200000001,0.9678779049999999
52,No Diri,BNBD4,Medium,High,0.931723,0.8760407,0.90204035,0.9283769175000001,0.93705178,0.873832085,0.8777867375,0.9010700975,0.9059326725
53,No Diri,BNBD4,Medium,Low,0.9956741,0.962808,0.97886905,0.993871215,0.997000345,0.9610530025,0.9646676,0.9778368175000001,0.980288025
54,No Diri,BNBD4,Very High,High,0.9955609999999999,0.8835735,0.93622285,0.9947163575,0.9970880975,0.881091505,0.88469108,0.9345054349999999,0.9372087
55,No Diri,BNBD4,Very High,Low,1.0,0.9544302,0.97668385,0.9995802225,1.0,0.9532225525,0.9553109175,0.9758511774999999,0.9771447575
56,No Diri,Pitman,High,High,0.99731355,0.8136707,0.8961703999999999,0.99616121,0.998288305,0.8118013425,0.81560803,0.8950318725,0.89751846
57,No Diri,Pitman,High,Low,1.0,0.9508706,0.97481665,1.0,1.0,0.95025743,0.95148377,0.97449432,0.9751388025
58,No Diri,Pitman,Low,High,0.9548387,0.708134,0.81267075,0.9426752,0.961482655,0.7033493,0.716626765,0.8087432,0.8211895875
59,No Diri,Pitman,Low,Low,0.97291785,0.9471154,0.9609756,0.966756625,0.9828056875,0.9471154,0.9519231,0.95683423,0.9646690075000001
60,No Diri,Pitman,Medium,High,0.9780258,0.7310360499999999,0.8368589,0.9754305375000001,0.9831315125000001,0.7290587625,0.7339847425,0.8349807875,0.83958325
61,No Diri,Pitman,Medium,Low,0.9961259,0.95653185,0.9758122,0.99489601,0.9965062325,0.9558345,0.958879595,0.9750257275,0.9771529425
62,No Diri,Pitman,Very High,High,0.9963606,0.8025754,0.8887902999999999,0.995074595,0.9980590075,0.8010708375,0.806875535,0.888060135,0.8918245725
63,No Diri,Pitman,Very High,Low,1.0,0.9540299,0.9763693,0.9994407,1.0,0.9538297,0.9549406325,0.9761027,0.97695104
64,No Diri,Uniform,High,High,0.9988166,0.6371601,0.7780492999999999,0.998629525,0.9990543475,0.6356495,0.64139728,0.7768298325,0.7811817625
65,No Diri,Uniform,High,Low,1.0,0.9495079,0.9741001,1.0,1.0,0.9487092650000001,0.9501893,0.973679655,0.9744585
66,No Diri,Uniform,Low,High,0.27800795,0.7990431,0.4128149,0.2760331,0.28849078,0.7990431,0.8027512425,0.4103194,0.4239181575
67,No Diri,Uniform,Low,Low,0.2828577,0.9519231,0.4361239,0.2770621025,0.29061315249999997,0.9519231,0.9519231,0.4292016475,0.4452783975
68,No Diri,Uniform,Medium,High,0.9751763499999999,0.73612395,0.83917745,0.9730796025,0.9780790025,0.7355342625,0.7387141275,0.8378616225,0.8403633025
69,No Diri,Uniform,Medium,Low,0.9922556,0.9530451,0.9722552,0.9904023750000001,0.99444446,0.9510344075,0.9572175775,0.9711601550000001,0.9749446525
70,No Diri,Uniform,Very High,High,0.9993467,0.611289,0.7585693,0.9988418125,0.99973252,0.6093641725,0.613127185,0.75715657,0.75988475
71,No Diri,Uniform,Very High,Low,1.0,0.9527622,0.9758098,1.0,1.0,0.9518581374999999,0.9539632,0.9753353725,0.9764393
72,No Empiri,BNBD4,High,High,0.9961725,0.8246223500000001,0.9024895,0.994104465,0.9975589675000001,0.8214388324999999,0.8286669025,0.9003016075,0.9046954775
73,No Empiri,BNBD4,High,Low,1.0,0.9510977,0.974936,0.99987662,1.0,0.9500567475,0.951517835,0.9743887725,0.97515669
74,No Empiri,BNBD4,Low,High,0.9617834,0.7272727,0.8260818,0.9450854875,0.9620253,0.722488,0.7309808425,0.8189286,0.8283379
75,No Empiri,BNBD4,Low,Low,0.97778375,0.9519231,0.96467865,0.967994755,0.9851318725,0.9519231,0.9556490675,0.9598876049999999,0.9701654875
