,model,prior,duplicates_level,distortion_level,precision_median,recall_median,f1score_median,precision_lower_bound,precision_upper_bound,recall_lower_bound,recall_upper_bound,f1score_lower_bound,f1score_upper_bound
0,Both,BNBD10,High,High,1.0,0.6946443,0.8198113,0.9960252225,1.0,0.690027965,0.7600119575,0.8161147825,0.8628602774999999
1,Both,BNBD10,High,Low,1.0,0.936901,0.9674227,1.0,1.0,0.934065515,0.9405351625,0.9657166,0.96935632
2,Both,BNBD10,Low,High,1.0,0.75,0.8571429,1.0,1.0,0.7333333,0.75,0.8461538,0.8571429
3,Both,BNBD10,Low,Low,0.9836066,0.952381,0.9677419,0.9677419,1.0,0.952381,0.952381,0.96,0.9756098
4,Both,BNBD10,Medium,High,0.989011,0.7392197,0.8460635,0.9888718049999999,0.9917582,0.733521515,0.742864485,0.842288,0.8486891125
5,Both,BNBD10,Medium,Low,1.0,0.9232323,0.960084,0.9956278975,1.0,0.9191919,0.9292929,0.9568875,0.9633508
6,Both,BNBD10,Very High,High,0.99747995,0.7793427,0.8759179500000001,0.9974071,1.0,0.772937615,0.8286720075,0.8716012,0.90531396
7,Both,BNBD10,Very High,Low,1.0,0.921762,0.9592884,1.0,1.0,0.9197896,0.9230769,0.9582192,0.96
8,Both,BNBD2,High,High,0.99196785,0.2941647,0.4540407,0.98917304,0.9946381,0.2917666,0.297981635,0.4506173,0.45808106
9,Both,BNBD2,High,Low,1.0,0.3370607,0.5041816,1.0,1.0,0.3354633,0.3386581,0.5023923,0.5059666
10,Both,BNBD2,Low,High,1.0,0.75,0.8571429,1.0,1.0,0.7333333,0.75,0.8461538,0.8571429
11,Both,BNBD2,Low,Low,0.9824561,0.8888889,0.9333333,0.9650484024999999,0.9824561,0.8888889,0.8888889,0.919739875,0.9333333
12,Both,BNBD2,Medium,High,0.9917355,0.4928131,0.6584362,0.9917012,0.9958678,0.4907598,0.4948665,0.6565934,0.6611797
13,Both,BNBD2,Medium,Low,1.0,0.5353535,0.6973684,0.9962406,1.0,0.5333333,0.5373737,0.6956522,0.6990802
14,Both,BNBD2,Very High,High,0.9977195,0.2930919,0.4533195,0.9931852875,1.0,0.2910798,0.29495309249999996,0.4504411,0.455359555
15,Both,BNBD2,Very High,Low,1.0,0.3136095,0.4774775,1.0,1.0,0.3122945,0.3149244,0.4759519,0.479
16,Both,BNBD4,High,High,1.0,0.6958432999999999,0.82025925,0.9957919525,1.0,0.6890488,0.761610735,0.81573761,0.8638355575000001
17,Both,BNBD4,High,Low,1.0,0.936901,0.9674227,1.0,1.0,0.9337061,0.9384984,0.9657166,0.9682736
18,Both,BNBD4,Low,High,1.0,0.75,0.8571429,1.0,1.0,0.7333333,0.75,0.8461538,0.8571429
19,Both,BNBD4,Low,Low,0.9836066,0.952381,0.9677419,0.9677419,0.996311485,0.952381,0.952381,0.96,0.9738395224999999
20,Both,BNBD4,Medium,High,0.9890411,0.7392197,0.8460635,0.9889503,0.9917530925,0.7351129,0.7412731,0.8433451,0.8484136
21,Both,BNBD4,Medium,Low,1.0,0.9232323,0.960084,0.99780916,1.0,0.9191919,0.9292929,0.9578947,0.9633508
22,Both,BNBD4,Very High,High,0.9975007,0.7806841,0.8762693,0.9974053174999999,1.0,0.7727867075,0.830684085,0.8712708175,0.907287975
23,Both,BNBD4,Very High,Low,1.0,0.921762,0.9592884,1.0,1.0,0.9197896,0.9235864625,0.9582192,0.960275435
24,Both,Pitman,High,High,1.0,0.6834532,0.8119658,1.0,1.0,0.6772382425,0.7466826624999999,0.8075635225,0.8544684975
25,Both,Pitman,High,Low,1.0,0.936901,0.9674227,1.0,1.0,0.934065515,0.9408946,0.965908705,0.9695473
26,Both,Pitman,Low,High,1.0,0.74166665,0.85164835,1.0,1.0,0.7166667,0.75,0.8349515,0.8571429
27,Both,Pitman,Low,Low,0.9836066,0.952381,0.9677419,0.9677419,1.0,0.952381,0.952381,0.96,0.9756098
28,Both,Pitman,Medium,High,0.9916667,0.7371663,0.8447059,0.988926585,0.99384509,0.7294148149999999,0.74650927,0.8405451525,0.8510802425
29,Both,Pitman,Medium,Low,1.0,0.9232323,0.960084,0.997807,1.0,0.9191919,0.9292929,0.9568875,0.9633508
30,Both,Pitman,Very High,High,1.0,0.71663315,0.8347011,0.99330245,1.0,0.70818243,0.8097417775,0.82916437,0.8948697625
31,Both,Pitman,Very High,Low,1.0,0.921762,0.9592884,1.0,1.0,0.9200854525,0.9237344,0.9583796250000001,0.9603554
32,Both,uniform,High,High,1.0,0.6482814,0.7866149,0.99903962,1.0,0.639668265,0.7045163824999999,0.7802410624999999,0.825692755
33,Both,uniform,High,Low,1.0,0.936901,0.9674227,1.0,1.0,0.934065515,0.9399160925000001,0.965908705,0.969027565
34,Both,uniform,Low,High,0.5132139,0.8166667,0.6282051,0.4862400875,0.5817891925,0.8,0.8166667,0.6095516675,0.6794995625
35,Both,uniform,Low,Low,0.4095611,0.952381,0.57279565,0.3797468,0.444841015,0.952381,0.952381,0.5429864,0.606409605
36,Both,uniform,Medium,High,0.9865591,0.7494867,0.8528037,0.986355495,0.9892117525,0.74219713,0.760420955,0.847801425,0.8588964849999999
37,Both,uniform,Medium,Low,1.0,0.9232323,0.960084,0.9961296675,1.0,0.9191919,0.9292929,0.9568875,0.9633508
38,Both,uniform,Very High,High,1.0,0.6676727,0.80072385,1.0,1.0,0.65788063,0.763967125,0.79363994,0.8661872125
39,Both,uniform,Very High,Low,1.0,0.921762,0.9592884,1.0,1.0,0.9197896,0.9237344,0.9582192,0.9603554
