,model,prior,duplicates_level,distortion_level,num_iter,replicates,precision,recall,f1score
0,Both,Pitman,High,High,10000,0,1.0,0.7458034,0.8543956
1,Both,Pitman,Very High,High,10000,0,0.9975,0.8028169,0.8896321
2,Both,Pitman,Low,Low,10000,0,0.9677419,0.952381,0.96
3,Both,Pitman,Medium,Low,10000,0,1.0,0.9191919,0.9578947
4,Both,Pitman,Low,High,10000,0,1.0,0.7666667,0.8679245
5,Both,Pitman,Medium,High,10000,0,0.9920424,0.7679671,0.8657407
6,Both,Pitman,High,Low,10000,0,1.0,0.9408946,0.9695473
7,Both,Pitman,Very High,Low,10000,0,1.0,0.921762,0.9592884
8,Both,Pitman,Very High,High,10000,2,0.997543,0.8169014,0.8982301
9,Both,Pitman,Low,High,10000,2,1.0,0.7,0.8235294
10,Both,Pitman,High,Low,10000,2,1.0,0.9353035,0.9665704
11,Both,Pitman,Very High,Low,10000,2,1.0,0.921762,0.9592884
12,Both,Pitman,High,High,10000,2,1.0,0.7386091,0.8496552
13,Both,Pitman,Medium,Low,10000,2,1.0,0.9232323,0.960084
14,Both,Pitman,Medium,High,10000,2,0.9916435,0.7310062,0.8416076
15,Both,Pitman,Low,Low,10000,2,1.0,0.952381,0.9756098
16,Both,Pitman,High,Low,10000,3,1.0,0.9361022,0.9669967
17,Both,Pitman,Medium,High,10000,3,0.9893333,0.761807,0.8607889
18,Both,Pitman,High,High,10000,3,0.9978495,0.7418066,0.8509858
19,Both,Pitman,Medium,Low,10000,3,1.0,0.9191919,0.9578947
20,Both,Pitman,Very High,High,10000,3,0.9991935,0.8309859,0.9073599
21,Both,Pitman,Low,High,10000,3,1.0,0.7333333,0.8461538
22,Both,Pitman,Low,Low,10000,3,0.9836066,0.952381,0.9677419
23,Both,Pitman,Very High,Low,10000,3,1.0,0.921762,0.9592884
24,Both,Pitman,Low,Low,10000,5,0.9836066,0.952381,0.9677419
25,Both,Pitman,Very High,High,10000,5,0.997389,0.7686117,0.8681818
26,Both,Pitman,Very High,Low,10000,5,1.0,0.921762,0.9592884
27,Both,Pitman,Medium,High,10000,5,0.9890411,0.7412731,0.8474178
28,Both,Pitman,Low,High,10000,5,1.0,0.7333333,0.8461538
29,Both,Pitman,High,High,10000,5,1.0,0.7394085,0.8501838
30,Both,Pitman,Medium,Low,10000,5,1.0,0.9272727,0.9622642
31,Both,Pitman,High,Low,10000,5,1.0,0.936901,0.9674227
